clarity,carat,color,shape,fluorescent,raprate,cut,polish,symmetry,table,length,width,depth,price per carat,discount,total,comments,report_no,ratio,depth %,rap price total,Extra Column,date,Vendor
SI2,3.0,E,Round,NONE,21000.0,EX,EX,EX,56.0,9.25,9.22,5.73,13261.499999999998,36.85,39784.49999999999,"Additional clouds, pinpoints and surface graining are not shown",,1.0,62.15,63000.0,"{'Sr.No': 1.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 3211290073, 'D/R': 9.24, 'Measurement': '9.22 - 9.25 * 5.73', 'Total Depth': 62.0, 'Additional Remark': 'UPGRADED CLARITY', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR1', 'T.B': 'B 2', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'N', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Crystal,Cloud,Feather,Needle', 'Graining': 'SG', 'Girdle': 'MED - MED', 'Girdle%': 3.0, 'C.A': 36.0, 'P.A': 40.6, 'C.H': 16.0, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.51,E,Round,FAINT,21000.0,EX,EX,EX,56.0,9.73,9.67,5.99,15290.099999999999,27.19,53668.25099999999,"Additional twinning wisps, pinpoints and surface graining are not shown",,1.01,61.94,73710.0,"{'Sr.No': 2.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1211680070, 'D/R': 9.7, 'Measurement': '9.67 - 9.73 * 5.99', 'Total Depth': 61.7, 'Additional Remark': '‡ INSPECTION ADVISABLE', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'SPR1', 'S.W': 'SPR1', 'T.B': 'B2', 'S.B': 'B2', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'HL', 'P.O': 'HL', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Twinning Wisp,Feather,Crystal,Needle', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 40.6, 'C.H': 14.5, 'P.H': 43.0, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.6,E,Round,NONE,21000.0,EX,EX,EX,57.0,9.75,9.69,6.09,15521.1,26.09,55875.96,"Additional clouds are not shown,Pinpoints are not shown",,1.01,62.85,75600.0,"{'Sr.No': 3.0, 'Pair ID': 19057.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 6210410286, 'D/R': 9.72, 'Measurement': '9.69 - 9.75 * 6.09', 'Total Depth': 62.7, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'CRL1', 'S.W': 'FR1', 'T.B': 'B1', 'S.B': 'B1', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'HL', 'P.O': 'SM', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Crystal,Cloud,Feather,Needle', 'Graining': 'N', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 36.0, 'P.A': 40.6, 'C.H': 15.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': 'Yes', 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.02,F,Round,NONE,19500.0,EX,EX,EX,57.0,9.22,9.19,5.76,14387.1,26.22,43449.042,"Additional clouds, pinpoints and surface graining are not shown",,1.0,62.68,58890.0,"{'Sr.No': 4.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 7447350107, 'D/R': 9.21, 'Measurement': '9.19 - 9.22 * 5.76', 'Total Depth': 62.6, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'CRL1', 'T.B': 'B1', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'SM', 'C.O': 'N', 'P.O': 'SM', 'G.O': 'SM', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Twinning Wisp,Crystal,Cloud,Needle,Indented Natural,Natural', 'Graining': 'SG', 'Girdle': 'STK - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 41.6, 'C.H': 14.5, 'P.H': 44.0, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.13,F,Round,FAINT,19500.0,EX,EX,EX,56.0,9.32,9.27,5.83,12858.3,34.06,40246.479,"Clouds are not shown,Pinpoints are not shown",,1.01,62.89,61035.0,"{'Sr.No': 5.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 9210580199, 'D/R': 9.3, 'Measurement': '9.27 - 9.32 * 5.83', 'Total Depth': 62.7, 'Additional Remark': 'UPGRADED COLOR', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'B2', 'S.B': 'B1', 'T.S': 'N', 'S.S': 'N', 'T.O': 'SM', 'C.O': 'SM', 'P.O': 'N', 'G.O': 'HL', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Crystal,Feather,Needle', 'Graining': 'N', 'Girdle': 'STK - STK', 'Girdle%': 4.0, 'C.A': 35.5, 'P.A': 40.8, 'C.H': 15.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.5,F,Round,NONE,19500.0,EX,EX,EX,58.0,9.69,9.62,6.06,16762.2,14.04,58667.700000000004,"Additional clouds are not shown,Pinpoints are not shown",,1.01,62.99,68250.0,"{'Sr.No': 6.0, 'Pair ID': 20572.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 4211030864, 'D/R': 9.66, 'Measurement': '9.62 - 9.69 * 6.06', 'Total Depth': 62.7, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'BPP', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'N', 'P.O': 'SM', 'G.O': 'HL', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Cloud,Feather,Crystal,Needle', 'Graining': 'N', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 41.6, 'C.H': 14.0, 'P.H': 44.5, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,G,Round,FAINT,17500.0,EX,EX,EX,58.0,9.29,9.23,5.68,13445.25,23.17,40470.2025,"Clouds, pinpoints and surface graining are not shown",,1.01,61.54,52674.99999999999,"{'Sr.No': 7.0, 'Pair ID': 22717.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 1210840240, 'D/R': 9.26, 'Measurement': '9.23 - 9.29 * 5.68', 'Total Depth': 61.4, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR1', 'T.B': 'B1', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'N', 'C.O': 'HL', 'P.O': 'SM', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Crystal,Feather,Needle,Indented Natural', 'Graining': 'SG', 'Girdle': 'THN - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 41.0, 'C.H': 14.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,G,Round,NONE,17500.0,EX,EX,EX,57.0,9.18,9.12,5.74,12703.25,27.41,38236.782499999994,"Clouds are not shown,Pinpoints are not shown",,1.01,62.94,52674.99999999999,"{'Sr.No': 8.0, 'Pair ID': 25879.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 4210810324, 'D/R': 9.15, 'Measurement': '9.12 - 9.18 * 5.74', 'Total Depth': 62.7, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'CRL2', 'S.W': 'FR1', 'T.B': 'B1', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'SM', 'C.O': 'N', 'P.O': 'N', 'G.O': 'N', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Crystal,Feather,Needle', 'Graining': 'N', 'Girdle': 'THN - STK', 'Girdle%': 4.0, 'C.A': 36.0, 'P.A': 40.6, 'C.H': 15.5, 'P.H': 43.0, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,G,Round,NONE,17500.0,EX,EX,EX,58.0,9.22,9.16,5.77,11179.0,36.12,33648.79,"Additional twinning wisps, additional clouds, pinpoints and surface graining are not shown",,1.01,62.99,52674.99999999999,"{'Sr.No': 9.0, 'Pair ID': nan, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': nan, 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 4447400054, 'D/R': 9.19, 'Measurement': '9.16 - 9.22 * 5.77', 'Total Depth': 62.8, 'Additional Remark': 'UPGRADED CLARITY,‡ INSPECTION ADVISABLE', 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR1', 'T.B': 'B 2', 'S.B': 'N', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'SM', 'P.O': 'N', 'G.O': 'SM', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'N', 'Key To Symbol': 'Crystal,Twinning Wisp,Feather,Cloud,Needle,Indented Natural', 'Graining': 'SG', 'Girdle': 'MED - STK', 'Girdle%': 4.0, 'C.A': 34.0, 'P.A': 41.6, 'C.H': 14.5, 'P.H': 44.5, 'LowHalf': 75.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': nan, 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
SI2,3.01,G,Round,NONE,17500.0,EX,EX,EX,61.0,9.39,9.33,5.6,14038.5,19.78,42255.884999999995,Pinpoints are not shown,,1.01,60.02,52674.99999999999,"{'Sr.No': 10.0, 'Pair ID': 24831.0, 'HD': 'HD', 'Photo': 'PHOTO', 'H&A': 'VG', 'Digi Plot': 'DIGIPLOT', 'Cert': 'GIA', 'Stone ID': 5210930575, 'D/R': 9.36, 'Measurement': '9.33 - 9.39 * 5.6', 'Total Depth': 59.8, 'Additional Remark': nan, 'Lust': 'EX', 'Shd.': 'N', 'T.W': 'FR1', 'S.W': 'FR2', 'T.B': 'BPP', 'S.B': 'BPP', 'T.S': 'N', 'S.S': 'N', 'T.O': 'HL', 'C.O': 'HL', 'P.O': 'SM', 'G.O': 'HL', 'T.EF': 'N', 'C.EF': 'N', 'P.EF': 'SM', 'Key To Symbol': 'Feather,Crystal,Needle', 'Graining': 'N', 'Girdle': 'MED - STK', 'Girdle%': 3.5, 'C.A': 32.5, 'P.A': 41.2, 'C.H': 12.5, 'P.H': 43.5, 'LowHalf': 80.0, 'StarLenth': 50.0, 'Culet Size': 'N', 'CM Eligible': nan, 'FM Eligible': nan, 'FP Eligible': 'Yes', 'Login Name': 'Heman Mehta'}",2/02/2002,atlantic1
